tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
1000001,cust_46048,True,2024-01-01T00:00:00,"Video keeps buffering even on good wifi, so annoying",1000002,
1000002,StreamBoxHelp,False,2024-01-01T02:36:00,"Sorry for the disruption! Try lowering the streaming quality in Settings, or restart your router. Let us know if it continues.",,1000001
1000003,cust_46048,True,2024-01-01T02:51:00,Still not working for me.,,1000002
1000004,cust_83563,True,2024-01-01T06:00:00,"I want a refund for this month, the service didn't work at all",1000005,
1000005,StreamBoxHelp,False,2024-01-01T08:35:00,"Understood, we'll need to verify your account first -- DM us your email and we'll get this looked at.",,1000004
1000006,cust_65392,True,2024-01-01T13:00:00,It says not available in my country but I'm a paying subscriber,1000007,
1000007,StreamBoxHelp,False,2024-01-01T13:31:00,Content availability varies by region due to licensing. We appreciate the feedback and will share it with the content team.,,1000006
1000008,cust_65392,True,2024-01-01T14:27:00,Ok will try that.,,1000007
1000009,cust_70217,True,2024-01-01T18:00:00,App crashes whenever a video starts playing on,1000010,
1000010,StreamBoxHelp,False,2024-01-01T21:37:00,That's not expected -- could you tell us your device model and app version so we can dig into this?,,1000009
1000011,cust_19116,True,2024-01-02T01:00:00,"I was billed twice for the same month, please fix this",1000012,
1000012,StreamBoxHelp,False,2024-01-02T04:43:00,That shouldn't happen -- please DM your account email and the charge date so our billing team can review and correct it.,,1000011
1000013,cust_19116,True,2024-01-02T05:02:00,DMed you now.,,1000012
1000014,cust_31319,True,2024-01-02T08:00:00,Quality drops to 240p randomly during playback on on Android,1000015,
1000015,StreamBoxHelp,False,2024-01-02T10:40:00,"Sorry for the disruption! Try lowering the streaming quality in Settings, or restart your router. Let us know if it continues.",,1000014
1000016,cust_59735,True,2024-01-02T15:00:00,"Payment keeps failing even though my card is fine, tried several times",1000017,
1000017,StreamBoxHelp,False,2024-01-02T18:40:00,We can look into that -- please DM your account email and the last 4 digits of the card used so we can check the transaction.,,1000016
1000019,cust_45093,True,2024-01-02T21:00:00,"Someone is using my account, I see devices I don't recognize logged in",1000020,
1000020,StreamBoxHelp,False,2024-01-02T21:59:00,We take this seriously. Please DM your account email immediately and avoid using the account until we confirm it's secure.,,1000019
1000021,cust_28726,True,2024-01-03T03:00:00,"Loving the new recommendations feature, keep it up",1000022,
1000022,StreamBoxHelp,False,2024-01-03T06:16:00,"That means a lot, thanks for being a subscriber!",,1000021
1000023,cust_28131,True,2024-01-03T07:00:00,Trying to downgrade my plan but the app won't let me,1000024,
1000024,StreamBoxHelp,False,2024-01-03T07:44:00,You can cancel anytime from Account > Subscription > Cancel Plan. Let us know if you run into any issues!,,1000023
1000025,cust_60432,True,2024-01-03T12:00:00,"Please cancel my plan, I don't want to be charged again",1000026,
1000026,StreamBoxHelp,False,2024-01-03T14:59:00,You can cancel anytime from Account > Subscription > Cancel Plan. Let us know if you run into any issues!,,1000025
1000027,cust_94012,True,2024-01-03T20:00:00,"Can I get my money back, I never used it after signing up",1000028,
1000028,StreamBoxHelp,False,2024-01-03T20:05:00,"Understood, we'll need to verify your account first -- DM us your email and we'll get this looked at.",,1000027
1000029,cust_33416,True,2024-01-04T04:00:00,"Paid for premium but still seeing ads, what's going on",1000030,
